text,label
"@ I have to say though, the honesty about the murderous tenets of your religion is refreshing. @ @hassanbasmer. Dalia Chai. cnnbrk. Charlie Hebdo
",1
"@ There is no proof yet that the shooter(s) has anything to do with ISIL but A BANFIELD &amp; CNN are already dropping that scare messagecnnbrk
",0
"@ @ @ sorry what now?Dostoevsky Shade. Aka Dimi X. 140elect
",0
"@ @ @ @ an investigative report on the shooting?jlpauk. spants. rui_xu. flavius217
",0
"@ Na, it's too many black people for to careclydetheslyde. Fox News
",0
"@ @ @ This is not about political correctness. These medieval assholes want to destroy fee speech &amp; western values: War.USATODAY. News. AP
",0
"@ @ @ not really, just pissed off. I'm against all religion.No Idteaots. Mama Obama. Jefferson Obama
",1
"BREAKING ALERT: Preliminary reports indicate perpetrators appear to be members of .ISIS. Sydney Siege
",0
"We are in full lock down until further notice from Ottawa Police.
",0
"@ RIPTelegraph
",1
"@ I'm sure they covered up all his disciplinary actions. They've had almost a week to set up a defense strategy!Yamiche
",1
".@ Police have asked all on social media to desist publishing anything FHSSharri Markson
",1
"suspects ""prepared to die as martyrs"", they tell police after making contact - French media http://Charlie Hebdo
",0
"@ And FAA has declared a no-fly zone.Anonymous Press. Ferguson
",1
"@ @ We don't.jplang43. Williams Jon
",1
"@ @ Just over 4500 fpm average rate of descent...completely normal and would seem controlled...thatjohn. Airline Reporter
",1
"@ all I see is him walking in a storeThe Anon Message
",1
"@ @ Extremist rather, no true Muslim will do such nonsense act! The world should know this by now...marcwinger. BBC Breaking
",0
"@ no but it shows this person's character and his disregard for the law and law enforcement this fact is highly relevant here.thelittleidiot
",1
"@ @ Two wrongs won't suddenly become right and two tragedies can never be compared - neither by quantity nor by quality.genlady9. R
",1
"@ @ got me all wrong the robbery suspect is wearing sandals but michael is wearing tennis shoes- few mins laterLashawna Taylor. zellieimani
",1
"@ @ maintain high level of vigilance? Against who? Obama said islamic terrorists don't exist in America remember?Williams Jon. Sassafras Knob
",0
"@ @ A pack of cigarettes = strong armed robbery.... You guys are getting ready to stir the pot again.DIANAZOGA. Antonio French
",1
"@ but at a controlled speed (unless readings were out), which makes it even more bizarre. I hope they find the real answers soonAir Smolik
",1
"@ the photo does not show the soldier. It shows the response. Brave bystanders trying to save himDries Brent
",0
"“@: Secret Prince show rumored for Toronto tonight http:// why does no one ever do secret shows in Ohio? 😔billboard
",0
"@ @ One shooter is dead. Shot by the Sargent at Arms.raymondillo. BBC Breaking
",1
"@ @ @ That's what they say.Minus. flightradar24. isobelroe
",1
"Police seem relaxed, suggesting all hostages are out and gunman no longer a threat http://sydneysiege
",0
"@ You are supposed to not be biased when you're a journalist. Glad you can come up with that decision without knowing all the factsATX
",0
"@ is this all part of a plan .. a spread of attacks by different associates to cause maximum confusion ..playing hostages . Max PR?FRANC
",1
"@ @ lolpandyam. staronline
",1
"@cnni
",0
"@ @ statistics say your freedom will be used to shoot your family not protect them.Vegas Rebs. Simbad Reb
",1
"@ We that respect freedom and property ownership (not the leftist by the way), need to make a final statement to these idiotsFox News
",0
"@ @ this matches the photo tweeted earlier today from a tourist who says it was taken moments before the shooting. 1/2Sean Osmar. graciestyle
",1
"@ @ I'm just finding a lot of the gratuitous photo tweeting a bit of a strain.dkfcdotnet. carolinemarcus
",1
"@ @ @ these pictures look damning, but stealing rillos DOES NOT JUSTIFY MURDER!Im So Florida. jasongarcia5. The Anon Message
",1
"@ link?avitalleibovich
",0
"It's a strategy to manipulate media and misinform people. @Lisa Bloom
",0
"@ That is so, so sad. @ @Colvinius. Beltrew. Le Point
",1
"@ He did that quickly &amp; made moves. Like ok lets get that wheel spinning.Angry Black Lady
",1
"Reports on @ gunman wants flag delivered to cafe and he also wants to speak to PM or people will be killed.channeltennews. sydneysiege. ISIL
",0
"@ @ BBC saying two dead in East Paris but at least five hostages still held in supermarket. Terrible.mcgozzaman. Reuters
",1
"@ @ @ @ Right there you just admired they are all bad witnesses if they have distrusts in cops.Tom. spants. rui_xu. flavius217
",1
"says 142 passengers &amp; 6 crew @ RT @: Germanwings Airbus A320 crashes in French Alps near Digne http://93wibc. BBC Breaking. BBC
",0
"@ They should tell them, no you'll just die as murderers, not martyrsBBC Breaking
",1
"@ Thanks 4 going where many of us don't care to wonder ✌️. No surprises, but really no articles ""he ran at my car really fast.""clydetheslyde
",1
"@ @ @ @ For you to declare he was executed without any facts is also as absurd.Tom. spants. rui_xu. flavius217
",1
"@ Media have surrounded this building. http://NBC News
",0
"@ Animals! Will they get their virgins in hell? Because, that's where they are going!ABC
",1
"@ @ wow. Prayers for the soldier.Henderburn. alimhaider
",1
"Fuck you @ “@: Uber says it has hiked prices in Sydney to ""encourage more drivers to come online &amp; pick up passengers.""Uber. mashable
",0
"@ Religion is nothing but harmful to society.Independent
",1
"@ yup Anti-Racist is a codeword for ANTI-WHITEYour Anon Live
",1
"Was Vladimir Putin netralized by an internal coup? Or maybe he's vacationing in Harper's closet: http://Looking For Narnia
",0
"@ @: Police - more than 1 suspect, downtown remains in lockdown. LA http:// http://cnnbrk. The Current CBC
",0
"MT @ France: 10 dead after shooting at HQ of satirical weekly . If Zionists/Jews did this they'd be nuking Israeleuronews. Charlie Hebdo
",1
"@ please don't spend all day on this!!! We all know who what when where ... Quit speculating on How or Whyfoxandfriends
",0
"According to Seven, this is a picture of the gunman http://
",0
"@ @ Uber is.el1nor. Uber Sydney
",0
"@ @ @ Yes ""Islamic"" flag. Black a traditional colour of Islam and I presume a Koranic verse also.zulubravo. Andrew Denney. jessradio
",0
"@ We would rather talk about anything other than a white police officer murdering an unarmed black kid.Zerlina Maxwell. Ferguson
",1
"@ @ - Is it true there was a struggle in the squad car, before shooting?Yamiche. USATODAY
",0
"@ @ @ just so my opinion is clear; no way that kid should be dead, period! Anon ain't the vigilante he thinksrzary. Im So Florida. The Anon Message
",1
"@ any help with this event even raffle prizes are much appreciatedctvottawa
",1
"@ these the same Islamic Terrorists you claimed were dead a couple days ago?NBC News
",0
"@ @ I understand his reluctance have his family around the violence, but they should know where he went.The Daily Edge. Zaffod B
",1
"@ Of course not. I can't make it tonight. But Saturday.....CBC News
",0
"@ @ @ So happy for him.Callum SR. mixormaster. AFP. Paris Under Attack
",1
"“@: : Police have confirmed that the is over. ” best newsNews Syd. BREAKING. Sydney Siege. News
",1
".@ Is that why you guys posted TONS of photos of looters on the first day this story broke? You're so much like the MSM you hatePrison Planet
",1
"@ @ LOL @ ""live ammunition."" You cheeky cunts.News Sydney. Mark Steyn Online
",1
"@ @ @ sorry not in name of Prophet. In the name of God. Ezra to Jews is son of God. Just u guys r idol worshipDalia Chai. Mariodinava. cnnbrk
",1
"@ May he rest in peace.Sputnik Int
",0
"@ initial message did imply that riders can cop hike. Much better. @Dr Yobbo. Uber Sydney
",1
"“@: Several hostages freed at Jewish supermarket in Paris. Photo Thomas Samson http://AF Pphoto. AFP
",0
"@ great newsKay Burley
",1
"@ exactly. if the criminal commits strong-arm robbery but has no weapon when he grasps for the officers he should be let go.140elect
",1
"@ strongly agree. I know policing is a terribly high-stress job, but most people are not criminals.dissuade
",1
"@ @ Muslims are a problem all around the world and your statement is false and a lie.drusudy. BBC Breaking
",0
"@ @ are they calling Mike Brown a suspect? If so, why didn't he stop them and check them?Dante. Mark M
",0
"@ Way to care for people.tdgecas
",1
"@ actually 12 dead Hebdoguardian. Charlie
",0
"@ you would be blown away by the swedish police then…thelittleidiot
",1
"@ @ Guess Sydney's off our list.....Daily Mail AU. Americn Elephant
",1
"BREAKING NEWS: Soldier shot at National War Memorial in Ottawa http://
",0
"@ thankfully the FBI is really good with lots of resourcesCTV News
",1
"Two shot in Paris, including traffic cop, as manhunt continues for suspects http:// http://Charlie Hebdo
",0
"@ @ It is an illegal bloody service. Why don't you thank regular taxi drivers? Encouraging theft are we?Nicole Will. Uber Sydney
",0
"“@: Latest on crash: Pilots signaled 911 before dropping out of midair” dropping out of...no...irresponsible reporting.mashable. Germanwings
",0
"@ - ""Approximately 50 hostages"", in the article linked the first few lines says the number is closer to 13.R
",0
"@ Wild West Politics: Western Europe is suffering from its internal contradictions; welcome to the tribal politics of the future.Telegraph
",1
"@ @ Given the state of Russian medical facilities, makes sense she would run to Switzerland. Not very patriotic, though.russian_market. L0gg0l
",1
"@ Its time for Canada to start making new Laws .In a world of so much evil ! Be careful of who coming in to Canada !!C
",1
"@ @ @ pedophiles is accepted in Judaism. Read torah. Who gave these fools right to make fun of IslamDalia Chai. Chusid. cnnbrk
",1
"@ @ Because American media is staying incredibly quiet. Call RT propaganda but its more news than CNN, MSNBC or Fox.Celestial Cylon. R
",1
"@ by any chance does that printing business actually print the Charlie Hebdo newspaper?BBC Breaking
",0
"@ , @ spotted your photo http://babsmediabrissy. lifegallery
",1
"@ @ @ @ Being literate in economics is out of favor these days. Bad for politics.ehammonds. Mr Odin. Uber Sydney. Andrew Crow
",1
"@ @ You are right - jury still out - but no question the kid was unarmed. How about the choking of the guy on NY? Murderlarryelder. KL South
",1
"“@: Police taking people out of grocery where hostages were being held. http:// 🙏cnnbrk. Paris
",0
"@ A soldier was intentionally hit by a car driven by a radicalized person, also not really confirmed yet. http://Olternaut
",1
"@ @ looks like American values are heading northglobeandmail. ggreenwald
",1
"@ @ @ Only takes a second to set the squawk code,marcepa49. flightradar24. isobelroe
",1
"@ @ yes and no depends on other traffic, turbulence... they were 25 mins late so going higher = going quickerjanoschjerman. flightradar24
",1
"@ @ @ my brother played, I'm familiar with their sizespecies8472xgn. mashable. PDPJ
",1
"“@: Several hostages freed at Jewish supermarket in Paris. Photo Thomas Samson http:// Liberi!AF Pphoto. AFP
",0
"“@: In 2009, police beat a man and charged him for bleeding on them: http://Complex Mag. Ferguson
",1
"@ what's the use of changing FMC if autopilot not engaged?Minus
",1
"@ Many here in Ottawa media looking for the source of this photo.Armed Research
",0
"@ @ in deaths, there are 4 of more french illustrators! cabu, wolinsky, charb and tignousUSATODAY. AP
",0
"@ @ @ @ still unclear in the context of the shooting of an unarmed teen. But ok.at_the_foxhole. Tracy Mo. zadiaz. mashable
",0
"@ @ he even looks like a bossCanoe. ottawasuncom
",1
"Unbelieveable @: The day cops told a dirty, bloody lie (via @): http:// http://The Root. thedailybeast. Ferguson
",0
"@ @ Shoving a clerk means you'll take on a police officer with a gun?leonlohr. Lisa Bloom. Sound Logic. Yes This Is Sarcasm. Mike Brown
",0
"@ @ @ @ @ http://andrewv. bmac_ottawa. Uber Sydney. J_francis613. Nakish
",0
"Police convoy and helicopters are rushing to scene to detain Charlie Hebdo massacre suspects http:// http://
",0
"From FL380 to FL110 in 8 min? That's average rate of descent 3375 fpm! Than levelled off at FL068? What the hell was going on there?4U9525
",1
"@ a bullet is just as evel as a bomb we bomb them they shot us but we make a big deal of bothBBC Breaking
",1
"@ yes hat and sandals vs no hat and tennis shoesThe Anon Message
",0
"@ Ok so he is dead, understanding he was a huge threat....BUT now WE will NOT know~who or why?CBC Alerts. CANADIAN Sneed T Oknow
",1
"@ @ what more hatred u want after abusing n Makin fun of the prophet. These guys who drew created hatred. Not attackersDalia Chai. cnnbrk
",1
"@ no shitSky News Break. Je Suis Charlie
",1
"@ Wow. I thought a Tweep was being sarcastic, but...it really happened that way?!?TPM
",0
"@ he didn't say he didn't know about the robbery, it went out over radio, he said he didn't know was a suspectLisa Bloom. Mike Brown
",1
"Hostages held inside Sydney cafe, Islamic flag held upBREAKING
",0
"@ had a description.WSJ
",0
"@ ""may be"" really? (forehead smack)AP
",0
"“@: Up to 20 held hostage in Sydney Lindt Cafe siege http:// http://Independent
",0
"@ do you enjoy being consistently wrong or is it really inadvertent?AFP
",0
"@ @ @ haha getting your news from 10 is like watching Looney Tunes for Social skills haTroy Bramston. srod009. channeltennews. Martin Place
",0
"@ NOTE TO SELF: Actions of committing amy crime, no matter how misqal may justify my death to some, regardless to how unwarranted.WSJ
",1
"Debris from crash located in Barcelonette area of the Alps | @ http://BBC Breaking. Germanwings
",0
"Perhaps it's both. @ @BB Ctrending. Lucille Clerc
",1
"@ Follow Official account @Ram CNN. Riconymous
",1
"@; several of your tweets are either wrong or misleading. Please hold yourself to higher journalism standards!Kristy Mayr
",0
"@ ... That's just plain funny.The Daily Edge
",1
"@ @ @ @ Did you see him stand 30' away and get shot? No. A few people who have a problem with cops did.Tom. spants. rui_xu. flavius217
",0
"@ Rip :(C
",1
"It's true. http:// @ @ronzell3284. Soul Revision
",1
"@ @ wow.Michael Skolnik. prettyhurtsss_
",1
"@ Weren't you reporting THREE incidents earlier?cnnbrk
",0
"@ @ @ I dont believe in any of them and certainly not worship themhassanbasmer. Dalia Chai. cnnbrk
",0
"@ You were correct yesterday! Ferguson police chief: Officer didn't stop Brown as robbery suspect http://Dante
",0
"@ I assume you mean niece?Avital Leibovich
",0
"@ all there is a still picture of a black man walking is that what counts as evidence were they on his person?Princetngirl
",0
"“@: MORE: France: Shooting, hostage-taking at kosher market in Paris; several reported wounded: http://AP
",1
"Unconfirmed reports claim that Michael Essien has contracted Ebola. http://
",0
"@ @ @ It is according to this terrorism expert http://col_livesey. Basima Faysal. Sky News Aust
",0
"@ @ Ya it does bother me. Was looking forward to tonight's game.thejpiga. CBC Alerts
",1
"@ @ I thought the same thing.Manning Eli. The Anon Message
",0
"@ if there was a black person in an altercation in a convenience store, that totally justifies killing another black person, right?mashable
",1
"@ @ Ottawa police have NOT confirmed multiple shooters based on Canadian reporters on scene but they are still looking in casecnnbrk. Damo Spin
",0
"@ @ put them through a wood chipper.darrenjames61. BBC Breaking
",1
"@ Yeah, being forced to hold an ISIS flag. Why aren't you reporting that?BBC World
",1
"@ i don't believe that is what he said. He said the stop was initially not about that. Previously, they said he knew of robbery and...WSJ
",0
"@BBC Breaking. Ottawa
",1
"@ Why are the enforcement folks not wearing bullet proof helmets, while they wear bullet proof vests?BBC Breaking
",1
"Escaped hostage, Elly Chen, a top student and skilled sportswoman http:// http://Sydney Siege
",0
"@ Pathetic.20committee
",0
"@ needs to http:// Brown family says, They're rightZerlina Maxwell. THOMASJACKSONMUSTGO. TRENDNOW. FERGUSON. DEVIANT. OUTRAGED
",0
"@ What media account did you get this photo from? What is your confirmation that this is the guy? DM me pleaseArmed Research
",0
"“@: Mike Brown was staying with his grandmother for the summer, who lived in the community. ”&lt; 💔😪🙏 sad storyMichael Skolnik. Ferguson
",0
"“@: Secret Prince show rumored for Toronto tonight http:// Wishing this was NYC @billboard. pdubfunk
",0
"@ @ @ dont waste time with A Hindu laim price ...they eat shit and urine of animals and spread Hates in worldLiiam Price. genlady9. R
",1
"@ is that man holding hostages alone? or they are many?cnni
",0
"@ Emm I never, I tagged the user. Not my video's Grace. I am ""ShaunyNews"" I share news. I am just sharing what I am being sent.TA
",0
"@ Heartbreaking! @Cameron Gray. globeandmail
",1
"@ umm wasn't Mike Brown wearing pants, and shoes?mashable
",0
"@ @ you,baboon, US media rejected to reprint those pictures finding them insulting.So go and fuck yourself u stupid boytheprawnatron. cnnbrk
",0
"@ @ I never blamed Muslims for this, I don't think you should be pushing vote liberal bullshit at a time like this.Daryus Azad. Justin Trudeau
",0
"@ So are rides free or more expensive? Your tweet is very unclearUber Sydney
",0
"@ literally...when these terrorists attacks going to finish.... Praying for the victims..TIME
",1
"@ hope notLisa La Flamme CTV
",1
"@ Not according to what I've just heard on CTV.Dave Beninger
",0
"@ Man...IAMLANCE
",1
"@BBC World
",1
"Mike Brown was staying with his grandmother for the summer, who lived in the community.Ferguson
",0
"@ @ @ What's the use when you're crashing?Minus. flightradar24. isobelroe
",0
"@ My grandfather enlisted in WWII when he was 17. That's not a kid, despite the sissification of this nation.Aka Dimi X
",0
"“@: Swiss Rumors:Putin absence due to girlfriendAlina giving birth http:// http:// @russian_market. fancy_work
",0
"@ had the same flip flops on.The Anon Message
",0
"@ Whaaaat? Is @ trying to ""shoot the moon"" when it comes to PR?mashable. Uber
",0
"@ This is a tragedy but why does a foreign airline in a foreign country have to totally co-opt all news?foxandfriends
",0
"CONFIRMED | 1 shooter shot dead at Parliament Hill, but there is more than 1 suspect.OTT. OT Tnews
",0
"Reports: suspects killed http://Charlie Hebdo
",0
"@ Thy wil bcum satans aftr death ! kep drmng abt martdm &amp; abt thse 72 virgins n heavn ! N India we mde mny trrorsts, satans n kashmir !ocnni
",0
": At least two people have died following the . 5 people are being treated by paramedics.BREAKING. Sydney Siege
",0
"@ Sadly, that was the intention. Misdirection.Zerlina Maxwell. Ferguson
",1
"@ They wont be martyrs.A martyr dies because of their religion.These rats will be dying because they murdered a muslim and othersBBC Breaking
",0
"@ Isn't it etiquette to remove names from a press release?latikambourke
",0
". @ Which excuses him getting shot in the street and his body left there for four hours HOW? Y'all are magpies; all you see is shiny.NBC News
",1
"RT @: An 11-month old baby is among the hostages at the Kosher supermarket inBklyn Middleton. Paris Attack
",0
"@ @ no he hasn'tFutbol Life. Transfer Select
",0
"@BBC Breaking
",1
"@ The worst :(dorome80
",1
"@ @ @ @ is the only country needed helpCdn Bowhunter. CBC Alerts. CBC News. Justin Trudeau. Afghanistan
",1
"@ @ @ ok, have you seen the video?Gdurham Garrett. Rondrea. nickk330
",0
"@ the Muslim policemen who died protecting the Charlie who ridiculed his faith http://BBC World. Je Suis Ahmed
",1
"@ so sad.R
",1
"@ Where???The Social CTV. Prince
",0
"@ @ @ @ @ Talk talk we need action toigh action.O Zz Sue. w0tn0t. Anita Teguh. BBC World. BBC News
",1
"@ Yes, surely the Australian government has ISIS flags ready to give just for this moment.cnni
",1
"@ I did not think the French knew what a gun was or how to use one. There arms expertise was on par with the Italians-experts at droppingWSJ
",0
"@ You called uber public transport, it's not. PT is for everyone not just the elite.English Emma
",1
"@ @ How? They are giving info that the media asked for.flavius217. rui_xu
",0
"@ Uber trips out of the CBD today are free to help Sydneysiders get home safely. See http://GR Qconsultants
",1
"@ Just for the sake of good journalism, which one is it? http://Independent
",0
"@ not in anyway justifying the violence but why the intentionally hurting of others believe? It doesn't make sense.Reuters
",0
"@ As it should be, having a game on the same day as a is just asking for trouble.CBC Alerts. hockey. shooting
",1
"@ a bit of joy in a gloomy day here at celebrating remarkable legacy of Coady.Mike Savage HFX. coady55
",0
"@ It smells don't it. This is the plan to get Darren Wilson off. Period.Angry Black Lady
",1
"@ @ also wrong venues and in wrong order. After his summary execution in the street, they are trying him through the media.rui_xu. jlpauk
",1
"@ @ I WILL KEEP THE BROWN FAMILY IN PRAYERS!Reuters US. Reuters
",1
"@ @ @ @ dude give it up. It's him. Confirmed.a_man_in_black. andybankertv. FO. tomman1
",1
"@ @ thanks. Now we need a pic of what michael brown was wearing to refute the video.Justin Glawe. Jesse La Greca
",0
"micro chip them - Just an uncivil thought :) @ @20committee. Blogsof War
",0
"@ cr@, now for even more security.. what moron decided was a good thing to do? No, don't give him the publicity by telling us!!BBC Breaking. p
",1
"@ @ Thats is such a horrible thing to hear praying every one will be ok ++++nadia_ageli. Sky News
",1
"@ because they gives us idea to create jobs: starting from now everybody well be scaned before get in any coffee shop in CA :-)CBC Alerts
",1
"@ Just awful. @Colvinius. Le Point
",1
"""@: BREAKING: At least 2 killed in hostage situation via @ http:// @Fox News. AFP. Oakley. Paris
",0
"@ did one of them drop his shoe? Surely catch those cuntsR
",1
"@ I don't have it.. why don't you try her here @Bhavdeepnama. Noopur Tiwari
",1
"@ http:// blast this..Independent
",1
"@ oh god.BBC Breaking
",0
"@ @ THAT WAS THEIR PLAN &amp; ITS WORKING WITH THE SHEEP!!Zerlina Maxwell. Dale
",1
"@ Aside from that, yeah.Texas Jew
",0
"@ @ has nothing to do with what ISIS or Al Queda will do in the future. They laugh AMERICANS are such pussies &amp; whiningkornegay_danna. Fox News
",0
"“@: AFP: suspected gunmen have been killed”@Sky News Break. nevsinmengu. Charlie Hebdo
",1
"@ @ If they only knew that ISIS was created by the American government.Daily Mail AU. Mail Online
",1
"@ @ @ Someone needs to explain how the cop shot &amp; then NEVER called an ambulance?Dante. orangeseahorse. Alasscan. Michael Brown
",1
"@ @ @ @ And I know they will too :)Russell Barth. dmatthewmillar. devo1400. spaikin. stupidattack
",1
"Heartbreaking for and Canada. “@: Soldier killed in Canada shooting was a young reservist with a son http://Telegraph. Ham Ont
",0
"cancels tonight's game between and due to today's shootings. Senators were to host Maple Leafs.NHL. Ottawa. Toronto
",0
"@ @ Thank you for up date --- great job --Thank you ------pnp---canadaamyminsky. althiaraj
",0
"@ @ All a damn LIE. Plant the image of a violent black man &amp; say he was a suspect. DID NOT WORK! http://Alasscan. Dante
",1
"“@: CONFIRMED | 1 shooter shot dead at Parliament Hill, but there is more than 1 suspect. ”CBC Ottawa. OTT. OT Tnews. staysafeottawa
",1
"Err, twist? RT @: In response to inquiries, we can confirm that Prince will not be performing at @ tonight.Live Nation ON. masseyhall
",0
"“@: - 11 dead including 2 police in Paris shooting. Photo @ http://AF Pphoto. Martin Bureau. Charlie Hebdo. AFP. tragedy
",0
"police confirm to they are still seeking 1 or more suspects after shootings on Parliament Hill, War Memorial, nearby mall.Ottawa. CBC News
",0
"BREAKING: Police enter cafe, hostages flee http:// http://Lindt. sydneysiege
",0
"@ @ @ a provocation is an open invitation !!smallthunderdog. cpjskippy. Independent
",1
"Breaking: Two hostage situations in France are linked, Paris prosecutor says
",0
".@ @ - PD new story is trying to establish: probable cause, justify 1st &amp; 2d shot, but can't justify extras.mmwlawtaos. Kat Edmiston. Ferguson
",1
"UPDATE: 13 hostages inside Sydney coffee shop near Sydney Opera House; Abbott will deliver a statement shortly.ISIS Attacks. sydneyseige
",0
"“@: : Soldier killed at war memorial identified as Cpl. Nathan Cirillo http://Cameron Gray. RIP Nathan Cirillo. Ottawa Shooting
",0
"@ Seriously fed up with this. It has to be stopped. Nowhere is safe nowadays. It's Sydney! Australia doesn't need this s**t now too!Sky News
",0
"@ not even if he IS stealing.thelittleidiot
",1
"“@: The soldier who was shot in Ottawa Wednesday morning is a reservist serving in Hamilton” @cbcsaltzman. tidridge. BREAKING
",0
"Rick Hughes at CBC Hamilton: The soldier who was shot in Ottawa Wednesday morning is a reservist serving in HamiltonBREAKING
",0
"Canada's Parliament Hill is on lockdown as police hunt shooting suspect; at least 1 injured - @, @ http://CBC News. Toronto Star
",0
"@ if you remember Said the same about @ but he turned out to be a good leader despite all his criticsCdn Bowhunter. Barack Obama. americans
",0
"Police Officer down in picture, killed by armed terrorists who shouted, ""the prophet is avenged"" after slaughtering him. @Mashable News
",1
"@ @ @ @ : New HashtagAngry Black Lady. Get JE Tmag. Chics Politico. markos. FINDDARRENWILSONNOW. Ferguson
",0
"@ @ ok I'm really pissed off nowCellying. E
",0
"@ I think it's 4 injured. I can't believe this is happening. I've also heard 2 people have diedAngus OL
",0
"GERMAN NEWS: Co-Pilot of Germanwings Airbus Was MUSLIM CONVERT. Can any muslim be trusted near an airplane now?
",0
"@ check @LEN. Pz Feed
",1
"If Michael Zehaf-Bebeau had his passport confiscated doesn't it make sense to track his movements - was this done? @ @20committee. Blogsof War
",0
"@ makes reference to 911 RE NOTHING BUT LIES at the cost of LIVES, BOYCOT websitemashable. Germanwings
",0
"@ OK. But why precisely an ID, why not Seresta tablets? @ @amuse. juliamacfarlane. dangillmor
",0
"@ @ I remember the same type of coverage when we invaded Iraq. Boots on the ground? Cont...clydetheslyde. Madaza
",0
"@ kill all kill them all kill their families and kill all their love ones make them feel the painnypost. ISIS
",1
"@ rest in peace to families and friends .@foxandfriends. Airbus
",1
"@ Great post! Why Not post on http:// Proximity Based Travel Network? http://R. travel
",1
"@ Too busy bitching about POTUS for sureclydetheslyde
",1
"@ they've been throwing out one lie after another. And none of it makes sense. How was he ""prime suspect"" just minutes after?rolandsmartin
",0
"@ @ @ &amp; really an flag? Surely when packing his shot gun, that would be the first item he'd pack!Troy Bramston. srod009. channeltennews. ISIL
",0
"@ @ Um... they told just one lie on a specific day?The Root. thedailybeast
",0
"@ @ Alasscan it's a lie. Pics are fake. No robbery was reported! If true, police would have said it last week to stop riotsAlasscan. Dante
",0
"“@: Eleven dead in shooting at Paris offices of satirical magazine Charlie Hebdo – live updates http:// 🙏guardian. Prayers
",1
"Witness: Police allegedly stopped Mike Brown after yelling at him to walk on sidewalk. http://Ferguson
",0
"@ @ the more coverage there is the more worried I am its giving these people what they want, and the situation a bad end.mscott. ztharli
",1
"“@: Breaking: Two hostage situations in France are linked, Paris prosecutor says”ABC. Pray For Paris
",0
"@ The first goal is to get a conviction so he can never be a cop again.jelani9
",1
"@ @ SUCH BULLSHIT!!Soul Revision. Jayron
",0
